id,role,permission,created_at,created_by
rp_1773958600829_t63ys6r8o,admin,user:read,2026-03-19T22:16:40.829Z,
rp_1773958600829_y2q4h5dab,admin,user:create,2026-03-19T22:16:40.829Z,
rp_1773958600829_bssp83b3c,admin,user:update,2026-03-19T22:16:40.829Z,
rp_1773958600830_pkl3v2jsb,admin,user:delete,2026-03-19T22:16:40.829Z,
rp_1773958600831_ufhkr6fik,admin,user:manage_role,2026-03-19T22:16:40.829Z,
rp_1773958600832_hpy047pxd,admin,team:read,2026-03-19T22:16:40.829Z,
rp_1773958600832_77bg63bcz,admin,team:create,2026-03-19T22:16:40.829Z,
rp_1773958600832_uwfdl0stj,admin,team:update,2026-03-19T22:16:40.829Z,
rp_1773958600832_h6u0hbxfb,admin,team:delete,2026-03-19T22:16:40.829Z,
rp_1773958600832_296m7gqz3,admin,team:add_member,2026-03-19T22:16:40.829Z,
rp_1773958600833_1m9712t21,admin,team:remove_member,2026-03-19T22:16:40.829Z,
rp_1773958600833_ab3obcewl,admin,team:manage,2026-03-19T22:16:40.829Z,
rp_1773958600833_lm6t2m1yo,admin,task:read,2026-03-19T22:16:40.829Z,
rp_1773958600833_g6907wqwj,admin,task:create,2026-03-19T22:16:40.829Z,
rp_1773958600833_64ylxpi3v,admin,task:update,2026-03-19T22:16:40.829Z,
rp_1773958600833_cy5nljyks,admin,task:delete,2026-03-19T22:16:40.829Z,
rp_1773958600833_zx9mb8oyl,admin,task:batch,2026-03-19T22:16:40.829Z,
rp_1773958600834_24g0h5a1p,admin,task:assign,2026-03-19T22:16:40.829Z,
rp_1773958600834_dk64a8loy,admin,settings:read,2026-03-19T22:16:40.829Z,
rp_1773958600834_5ec3x9ltk,admin,settings:update,2026-03-19T22:16:40.829Z,
rp_1773958600834_efvwyi7yr,admin,settings:manage,2026-03-19T22:16:40.829Z,
rp_1773958600835_lndpm266l,admin,approval:read,2026-03-19T22:16:40.829Z,
rp_1773958600835_rojtxlj06,admin,approval:create,2026-03-19T22:16:40.829Z,
rp_1773958600835_imzn6b78h,admin,approval:update,2026-03-19T22:16:40.829Z,
rp_1773958600835_msl820c6z,admin,approval:delete,2026-03-19T22:16:40.829Z,
rp_1773958600835_5q15rvfbe,admin,approval:approve,2026-03-19T22:16:40.829Z,
rp_1773958600835_o9qv7jo5p,admin,approval:reject,2026-03-19T22:16:40.829Z,
rp_1773958600835_4unxn50kw,admin,approval:manage,2026-03-19T22:16:40.829Z,
rp_1773958600836_rnsxni6r7,admin,reports:export,2026-03-19T22:16:40.829Z,
rp_1773958600836_2hoxartg1,admin,reports:view,2026-03-19T22:16:40.829Z,
rp_1773958600836_owaclurdj,admin,reports:manage,2026-03-19T22:16:40.829Z,
rp_1773958600836_p1a2fv5mf,admin,system:read,2026-03-19T22:16:40.829Z,
rp_1773958600836_c6so9nlit,admin,system:manage,2026-03-19T22:16:40.829Z,
rp_1773958600836_dbb5d68o4,admin,system:config,2026-03-19T22:16:40.829Z,
rp_1773958600836_5dm892z1t,admin,logs:read,2026-03-19T22:16:40.829Z,
rp_1773958600837_l1hb7sqm8,admin,logs:export,2026-03-19T22:16:40.829Z,
rp_1773958600837_h2jiecq3k,admin,agent:read,2026-03-19T22:16:40.829Z,
rp_1773958600837_a25mpbz1f,admin,agent:create,2026-03-19T22:16:40.829Z,
rp_1773958600837_zsg3ws41s,admin,agent:update,2026-03-19T22:16:40.829Z,
rp_1773958600837_h15zfkl89,admin,agent:delete,2026-03-19T22:16:40.829Z,
rp_1773958600837_n5t2tt033,admin,agent:manage,2026-03-19T22:16:40.829Z,
rp_1773958600837_sxe31knv5,admin,agent:execute,2026-03-19T22:16:40.829Z,
rp_1773958600837_31hqcg3oh,admin,wallet:read,2026-03-19T22:16:40.829Z,
rp_1773958600838_03bpfh27o,admin,wallet:manage,2026-03-19T22:16:40.829Z,
rp_1773958600838_i9h6yx2h7,admin,wallet:transfer,2026-03-19T22:16:40.829Z,
rp_1773958600844_hwy187qlk,manager,user:read,2026-03-19T22:16:40.844Z,
rp_1773958600845_cgn5ziam6,manager,user:update,2026-03-19T22:16:40.844Z,
rp_1773958600845_9prbqa41k,manager,team:read,2026-03-19T22:16:40.844Z,
rp_1773958600845_c3vwltv46,manager,team:create,2026-03-19T22:16:40.844Z,
rp_1773958600845_vsmubzq93,manager,team:update,2026-03-19T22:16:40.844Z,
rp_1773958600845_8xki5mnd5,manager,team:add_member,2026-03-19T22:16:40.844Z,
rp_1773958600845_z11645rgu,manager,team:remove_member,2026-03-19T22:16:40.844Z,
rp_1773958600846_nb5gw15lq,manager,team:manage,2026-03-19T22:16:40.844Z,
rp_1773958600846_lvtgqd37j,manager,task:read,2026-03-19T22:16:40.844Z,
rp_1773958600846_xb1gmwhm5,manager,task:create,2026-03-19T22:16:40.844Z,
rp_1773958600846_ze90x2gah,manager,task:update,2026-03-19T22:16:40.844Z,
rp_1773958600846_c464m2ymk,manager,task:delete,2026-03-19T22:16:40.844Z,
rp_1773958600846_y8tnbreyq,manager,task:batch,2026-03-19T22:16:40.844Z,
rp_1773958600847_pzwmnwgl8,manager,task:assign,2026-03-19T22:16:40.844Z,
rp_1773958600847_rpayp7zcc,manager,settings:read,2026-03-19T22:16:40.844Z,
rp_1773958600847_kcl4fe9w2,manager,settings:update,2026-03-19T22:16:40.844Z,
rp_1773958600847_b1yjxhfu3,manager,approval:read,2026-03-19T22:16:40.844Z,
rp_1773958600847_ccxuotpv2,manager,approval:create,2026-03-19T22:16:40.844Z,
rp_1773958600847_l8nqu3db3,manager,approval:update,2026-03-19T22:16:40.844Z,
rp_1773958600848_78ihl967t,manager,approval:approve,2026-03-19T22:16:40.844Z,
rp_1773958600848_n2f18u0tb,manager,approval:reject,2026-03-19T22:16:40.844Z,
rp_1773958600848_ptigx61lw,manager,reports:export,2026-03-19T22:16:40.844Z,
rp_1773958600848_hq8c7g3id,manager,reports:view,2026-03-19T22:16:40.844Z,
rp_1773958600848_yfof4cqle,manager,system:read,2026-03-19T22:16:40.844Z,
rp_1773958600848_hfcasht2n,manager,agent:read,2026-03-19T22:16:40.844Z,
rp_1773958600848_ie78ywf5l,manager,agent:create,2026-03-19T22:16:40.844Z,
rp_1773958600849_0i7h7kzkt,manager,agent:update,2026-03-19T22:16:40.844Z,
rp_1773958600849_932u92hmd,manager,agent:delete,2026-03-19T22:16:40.844Z,
rp_1773958600849_hu2dz3gks,manager,agent:execute,2026-03-19T22:16:40.844Z,
rp_1773958600849_mnxbdw5qo,manager,wallet:read,2026-03-19T22:16:40.844Z,
rp_1773958600855_6vtsbmech,member,user:read,2026-03-19T22:16:40.855Z,
rp_1773958600855_atrthtfqh,member,team:read,2026-03-19T22:16:40.855Z,
rp_1773958600858_vuzj3v37l,member,task:read,2026-03-19T22:16:40.855Z,
rp_1773958600859_4dvybs8vx,member,task:create,2026-03-19T22:16:40.855Z,
rp_1773958600859_dzlh1mtdn,member,task:update,2026-03-19T22:16:40.855Z,
rp_1773958600859_jlz5xtks1,member,task:assign,2026-03-19T22:16:40.855Z,
rp_1773958600859_7jlodqqzw,member,approval:read,2026-03-19T22:16:40.855Z,
rp_1773958600860_jdge4srpp,member,approval:create,2026-03-19T22:16:40.855Z,
rp_1773958600860_8kpkr1ots,member,approval:update,2026-03-19T22:16:40.855Z,
rp_1773958600860_3bt8nrbev,member,reports:view,2026-03-19T22:16:40.855Z,
rp_1773958600860_odx7e01hx,member,agent:read,2026-03-19T22:16:40.855Z,
rp_1773958600860_93mmarvpk,member,agent:execute,2026-03-19T22:16:40.855Z,
rp_1773958600868_f4euwi9mg,viewer,user:read,2026-03-19T22:16:40.868Z,
rp_1773958600868_0sjbfsk58,viewer,team:read,2026-03-19T22:16:40.868Z,
rp_1773958600868_lgbuxfdui,viewer,task:read,2026-03-19T22:16:40.868Z,
rp_1773958600869_6o3n3o49j,viewer,approval:read,2026-03-19T22:16:40.868Z,
rp_1773958600869_04suymfmx,viewer,reports:view,2026-03-19T22:16:40.868Z,
rp_1773958600869_4jybv93da,viewer,agent:read,2026-03-19T22:16:40.868Z,
rp_1773958600908_ym1t1nbkg,manager,system:manage,2026-03-19T22:16:40.908Z,admin
rp_1773997151409_5toibqgxm,admin,user:manage:role,2026-03-20T08:59:11.404Z,
rp_1773997151436_spcg56oco,admin,team:add:member,2026-03-20T08:59:11.404Z,
rp_1773997151436_1gkoeimmt,admin,team:remove:member,2026-03-20T08:59:11.404Z,
rp_1774011056364_1644lh5l6,manager,team:add:member,2026-03-20T12:50:56.342Z,
rp_1774011056364_f531n6go8,manager,team:remove:member,2026-03-20T12:50:56.342Z,
